Section,Period,DO,Metric,Value
PSU Commissioning,Apr-Aug'26,Ajmer,BPC KSK,0
PSU Commissioning,Apr-Aug'26,Ajmer,BPC Total,6
PSU Commissioning,Apr-Aug'26,Ajmer,HPC RO,0
PSU Commissioning,Apr-Aug'26,Ajmer,HPC KSK,0
PSU Commissioning,Apr-Aug'26,Ajmer,HPC Total,0
PSU Commissioning,Apr-Aug'26,Ajmer,Total RO,12
PSU Commissioning,Apr-Aug'26,Ajmer,Total KSK,2
PSU Commissioning,Apr-Aug'26,Ajmer,Total Total,14
PSU Commissioning,Apr-Aug'26,Ajmer,%IOC Comm RO,50.0
PSU Commissioning,Apr-Aug'26,Ajmer,%IOC Comm KSK,100.0
PSU Commissioning,Apr-Aug'26,Ajmer,%IOC Comm Total,57.1
PSU Commissioning,Apr-Aug'26,Ajmer,Class A,0
PSU Commissioning,Apr-Aug'26,Ajmer,Class B,0
PSU Commissioning,Apr-Aug'26,Ajmer,Class D1,4
PSU Commissioning,Apr-Aug'26,Jaipur,IOC RO,7
PSU Commissioning,Apr-Aug'26,Jaipur,IOC KSK,1
PSU Commissioning,Apr-Aug'26,Jaipur,IOC Total,8
PSU Commissioning,Apr-Aug'26,Jaipur,BPC RO,5
PSU Commissioning,Apr-Aug'26,Jaipur,BPC KSK,1
PSU Commissioning,Apr-Aug'26,Jaipur,BPC Total,6
PSU Commissioning,Apr-Aug'26,Jaipur,HPC RO,4
PSU Commissioning,Apr-Aug'26,Jaipur,HPC KSK,0
PSU Commissioning,Apr-Aug'26,Jaipur,HPC Total,4
PSU Commissioning,Apr-Aug'26,Jaipur,Total RO,16
PSU Commissioning,Apr-Aug'26,Jaipur,Total KSK,2
PSU Commissioning,Apr-Aug'26,Jaipur,Total Total,18
PSU Commissioning,Apr-Aug'26,Jaipur,%IOC Comm RO,43.8
PSU Commissioning,Apr-Aug'26,Jaipur,%IOC Comm KSK,50.0
PSU Commissioning,Apr-Aug'26,Jaipur,%IOC Comm Total,44.4
PSU Commissioning,Apr-Aug'26,Jaipur,Class A,0
PSU Commissioning,Apr-Aug'26,Jaipur,Class B,0
PSU Commissioning,Apr-Aug'26,Jaipur,Class D1,2
PSU Commissioning,Apr-Aug'26,Jodhpur,IOC RO,12
PSU Commissioning,Apr-Aug'26,Jodhpur,IOC KSK,0
PSU Commissioning,Apr-Aug'26,Jodhpur,IOC Total,12
PSU Commissioning,Apr-Aug'26,Jodhpur,BPC RO,3
PSU Commissioning,Apr-Aug'26,Jodhpur,BPC KSK,1
PSU Commissioning,Apr-Aug'26,Jodhpur,BPC Total,4
PSU Commissioning,Apr-Aug'26,Jodhpur,HPC RO,1
PSU Commissioning,Apr-Aug'26,Jodhpur,HPC KSK,0
PSU Commissioning,Apr-Aug'26,Jodhpur,HPC Total,1
PSU Commissioning,Apr-Aug'26,Jodhpur,Total RO,16
PSU Commissioning,Apr-Aug'26,Jodhpur,Total KSK,1
PSU Commissioning,Apr-Aug'26,Jodhpur,Total Total,17
PSU Commissioning,Apr-Aug'26,Jodhpur,%IOC Comm RO,75.0
PSU Commissioning,Apr-Aug'26,Jodhpur,%IOC Comm KSK,0.0
PSU Commissioning,Apr-Aug'26,Jodhpur,%IOC Comm Total,70.6
PSU Commissioning,Apr-Aug'26,Jodhpur,Class A,0
PSU Commissioning,Apr-Aug'26,Jodhpur,Class B,1
PSU Commissioning,Apr-Aug'26,Jodhpur,Class D1,9
PSU Commissioning,Apr-Aug'26,Udaipur,IOC RO,3
PSU Commissioning,Apr-Aug'26,Udaipur,IOC KSK,1
PSU Commissioning,Apr-Aug'26,Udaipur,IOC Total,4
PSU Commissioning,Apr-Aug'26,Udaipur,BPC RO,4
PSU Commissioning,Apr-Aug'26,Udaipur,BPC KSK,0
PSU Commissioning,Apr-Aug'26,Udaipur,BPC Total,4
PSU Commissioning,Apr-Aug'26,Udaipur,HPC RO,1
PSU Commissioning,Apr-Aug'26,Udaipur,HPC KSK,1
PSU Commissioning,Apr-Aug'26,Udaipur,HPC Total,2
PSU Commissioning,Apr-Aug'26,Udaipur,Total RO,8
PSU Commissioning,Apr-Aug'26,Udaipur,Total KSK,2
PSU Commissioning,Apr-Aug'26,Udaipur,Total Total,10
