Section,Period,DO,Metric,Value
DAR 24-25,,Ajmer,Returned/Rejected,0
DAR 24-25,,Ajmer,Escalated to DO Mgr/DRSH,0
DAR 24-25,,Ajmer,In Draft,0
DAR 24-25,,Ajmer,Not Initiated,8
DAR 24-25,,Ajmer,Pending Approval,4
DAR 24-25,,Ajmer,Grand Total,621
DAR 24-25,,Jaipur,Approved,724
DAR 24-25,,Jaipur,Returned/Rejected,0
DAR 24-25,,Jaipur,Escalated to DO Mgr/DRSH,5
DAR 24-25,,Jaipur,In Draft,1
DAR 24-25,,Jaipur,Not Initiated,35
DAR 24-25,,Jaipur,Pending Approval,18
DAR 24-25,,Jaipur,Grand Total,783
DAR 24-25,,Jodhpur,Approved,670
DAR 24-25,,Jodhpur,Returned/Rejected,0
DAR 24-25,,Jodhpur,Escalated to DO Mgr/DRSH,0
DAR 24-25,,Jodhpur,In Draft,0
DAR 24-25,,Jodhpur,Not Initiated,12
DAR 24-25,,Jodhpur,Pending Approval,4
DAR 24-25,,Jodhpur,Grand Total,686
DAR 24-25,,Udaipur,Approved,569
DAR 24-25,,Udaipur,Returned/Rejected,1
DAR 24-25,,Udaipur,Escalated to DO Mgr/DRSH,14
DAR 24-25,,Udaipur,In Draft,1
DAR 24-25,,Udaipur,Not Initiated,18
DAR 24-25,,Udaipur,Pending Approval,5
DAR 24-25,,Udaipur,Grand Total,608
DAR 24-25,,RSO,Approved,2572
DAR 24-25,,RSO,Returned/Rejected,1
DAR 24-25,,RSO,Escalated to DO Mgr/DRSH,19
DAR 24-25,,RSO,In Draft,2
DAR 24-25,,RSO,Not Initiated,73
DAR 24-25,,RSO,Pending Approval,31
DAR 24-25,,RSO,Grand Total,2698
Xtrapower Volume & Conversion,Aug'26,Ajmer,XP Volume CY (TKL),8.3
Xtrapower Volume & Conversion,Aug'26,Ajmer,XP Volume LY (TKL),6.6
Xtrapower Volume & Conversion,Aug'26,Ajmer,XP +/- (TKL),1.7
Xtrapower Volume & Conversion,Aug'26,Ajmer,XP % Growth,25.5
Xtrapower Volume & Conversion,Aug'26,Ajmer,HSD Volume CY (TKL),39
Xtrapower Volume & Conversion,Aug'26,Ajmer,HSD Volume LY (TKL),32
Xtrapower Volume & Conversion,Aug'26,Ajmer,HSD +/- (TKL),7.5
Xtrapower Volume & Conversion,Aug'26,Ajmer,HSD % Growth,23.5
Xtrapower Volume & Conversion,Aug'26,Ajmer,XP Conv% CY,21.2
Xtrapower Volume & Conversion,Aug'26,Ajmer,XP Conv% LY,20.9
Xtrapower Volume & Conversion,Aug'26,Ajmer,XP Conv +/- pp,0.3
Xtrapower Volume & Conversion,Aug'26,Jaipur,XP Volume CY (TKL),7.0
Xtrapower Volume & Conversion,Aug'26,Jaipur,XP Volume LY (TKL),4.7
Xtrapower Volume & Conversion,Aug'26,Jaipur,XP +/- (TKL),2.3
Xtrapower Volume & Conversion,Aug'26,Jaipur,XP % Growth,47.6
Xtrapower Volume & Conversion,Aug'26,Jaipur,HSD Volume CY (TKL),51
Xtrapower Volume & Conversion,Aug'26,Jaipur,HSD Volume LY (TKL),44
Xtrapower Volume & Conversion,Aug'26,Jaipur,HSD +/- (TKL),7.1
Xtrapower Volume & Conversion,Aug'26,Jaipur,HSD % Growth,15.9
Xtrapower Volume & Conversion,Aug'26,Jaipur,XP Conv% CY,13.7
Xtrapower Volume & Conversion,Aug'26,Jaipur,XP Conv% LY,10.7
Xtrapower Volume & Conversion,Aug'26,Jaipur,XP Conv +/- pp,2.9
Xtrapower Volume & Conversion,Aug'26,Jodhpur,XP Volume CY (TKL),6.8
Xtrapower Volume & Conversion,Aug'26,Jodhpur,XP Volume LY (TKL),4.9
Xtrapower Volume & Conversion,Aug'26,Jodhpur,XP +/- (TKL),1.9
Xtrapower Volume & Conversion,Aug'26,Jodhpur,XP % Growth,39.9
Xtrapower Volume & Conversion,Aug'26,Jodhpur,HSD Volume CY (TKL),56
Xtrapower Volume & Conversion,Aug'26,Jodhpur,HSD Volume LY (TKL),45
Xtrapower Volume & Conversion,Aug'26,Jodhpur,HSD +/- (TKL),10.7
Xtrapower Volume & Conversion,Aug'26,Jodhpur,HSD % Growth,23.8
Xtrapower Volume & Conversion,Aug'26,Jodhpur,XP Conv% CY,12.3
Xtrapower Volume & Conversion,Aug'26,Jodhpur,XP Conv% LY,10.9
Xtrapower Volume & Conversion,Aug'26,Jodhpur,XP Conv +/- pp,1.4
Xtrapower Volume & Conversion,Aug'26,Udaipur,XP Volume CY (TKL),10.2
Xtrapower Volume & Conversion,Aug'26,Udaipur,XP Volume LY (TKL),7.3
Xtrapower Volume & Conversion,Aug'26,Udaipur,XP +/- (TKL),2.9
Xtrapower Volume & Conversion,Aug'26,Udaipur,XP % Growth,39.9
Xtrapower Volume & Conversion,Aug'26,Udaipur,HSD Volume CY (TKL),43
Xtrapower Volume & Conversion,Aug'26,Udaipur,HSD Volume LY (TKL),34
Xtrapower Volume & Conversion,Aug'26,Udaipur,HSD +/- (TKL),9.0
Xtrapower Volume & Conversion,Aug'26,Udaipur,HSD % Growth,26.6
Xtrapower Volume & Conversion,Aug'26,Udaipur,XP Conv% CY,23.8
Xtrapower Volume & Conversion,Aug'26,Udaipur,XP Conv% LY,21.5
Xtrapower Volume & Conversion,Aug'26,Udaipur,XP Conv +/- pp,2.3
Xtrapower Volume & Conversion,Aug'26,RSO,XP Volume CY (TKL),32.3
Xtrapower Volume & Conversion,Aug'26,RSO,XP Volume LY (TKL),23.5
Xtrapower Volume & Conversion,Aug'26,RSO,XP +/- (TKL),8.8
Xtrapower Volume & Conversion,Aug'26,RSO,XP % Growth,37.4
Xtrapower Volume & Conversion,Aug'26,RSO,HSD Volume CY (TKL),189
Xtrapower Volume & Conversion,Aug'26,RSO,HSD Volume LY (TKL),155
Xtrapower Volume & Conversion,Aug'26,RSO,HSD +/- (TKL),34.2
Xtrapower Volume & Conversion,Aug'26,RSO,HSD % Growth,22.1
Xtrapower Volume & Conversion,Aug'26,RSO,XP Conv% CY,17.1
Xtrapower Volume & Conversion,Aug'26,RSO,XP Conv% LY,15.2
Xtrapower Volume & Conversion,Aug'26,RSO,XP Conv +/- pp,1.9
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,XP Volume CY (TKL),43.3
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,XP Volume LY (TKL),33.2
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,XP +/- (TKL),10.1
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,XP % Growth,30.4
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,HSD Volume CY (TKL),272
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,HSD Volume LY (TKL),215
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,HSD +/- (TKL),57.1
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,HSD % Growth,26.5
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,XP Conv% CY,15.9
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,XP Conv% LY,15.4
Xtrapower Volume & Conversion,Apr-Aug'26,Ajmer,XP Conv +/- pp,0.5
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,XP Volume CY (TKL),35.8
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,XP Volume LY (TKL),24.3
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,XP +/- (TKL),11.5
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,XP % Growth,47.5
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,HSD Volume CY (TKL),313
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,HSD Volume LY (TKL),260
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,HSD +/- (TKL),52.7
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,HSD % Growth,20.3
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,XP Conv% CY,11.5
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,XP Conv% LY,9.3
Xtrapower Volume & Conversion,Apr-Aug'26,Jaipur,XP Conv +/- pp,2.1
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,XP Volume CY (TKL),31.5
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,XP Volume LY (TKL),22.1
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,XP +/- (TKL),9.4
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,XP % Growth,42.5
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,HSD Volume CY (TKL),356
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,HSD Volume LY (TKL),287
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,HSD +/- (TKL),69.1
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,HSD % Growth,24.1
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,XP Conv% CY,8.9
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,XP Conv% LY,7.7
Xtrapower Volume & Conversion,Apr-Aug'26,Jodhpur,XP Conv +/- pp,1.1
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,XP Volume CY (TKL),51.2
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,XP Volume LY (TKL),35.0
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,XP +/- (TKL),16.2
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,XP % Growth,46.1
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,HSD Volume CY (TKL),272
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,HSD Volume LY (TKL),210
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,HSD +/- (TKL),61.8
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,HSD % Growth,29.4
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,XP Conv% CY,18.8
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,XP Conv% LY,16.7
Xtrapower Volume & Conversion,Apr-Aug'26,Udaipur,XP Conv +/- pp,2.2
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,XP Volume CY (TKL),161.8
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,XP Volume LY (TKL),114.6
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,XP +/- (TKL),47.2
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,XP % Growth,41.2
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,HSD Volume CY (TKL),1212
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,HSD Volume LY (TKL),972
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,HSD +/- (TKL),240.6
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,HSD % Growth,24.8
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,XP Conv% CY,13.3
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,XP Conv% LY,11.8
Xtrapower Volume & Conversion,Apr-Aug'26,RSO,XP Conv +/- pp,1.6
FO Inspection,Apr-Aug'26,Ajmer,Total RO,688
FO Inspection,Apr-Aug'26,Ajmer,Target for Month,573
FO Inspection,Apr-Aug'26,Ajmer,Done,717
FO Inspection,Apr-Aug'26,Ajmer,% Done,125
FO Inspection,Apr-Aug'26,Jaipur,Total RO,827
FO Inspection,Apr-Aug'26,Jaipur,Target for Month,689
FO Inspection,Apr-Aug'26,Jaipur,Done,841
FO Inspection,Apr-Aug'26,Jaipur,% Done,122
FO Inspection,Apr-Aug'26,Jodhpur,Total RO,735
FO Inspection,Apr-Aug'26,Jodhpur,Target for Month,613
FO Inspection,Apr-Aug'26,Jodhpur,Done,761
FO Inspection,Apr-Aug'26,Jodhpur,% Done,124
FO Inspection,Apr-Aug'26,Udaipur,Total RO,650
FO Inspection,Apr-Aug'26,Udaipur,Target for Month,542
FO Inspection,Apr-Aug'26,Udaipur,Done,627
FO Inspection,Apr-Aug'26,Udaipur,% Done,116
FO Inspection,Apr-Aug'26,RSO,Total RO,2900
FO Inspection,Apr-Aug'26,RSO,Target for Month,2417
FO Inspection,Apr-Aug'26,RSO,Done,2946
FO Inspection,Apr-Aug'26,RSO,% Done,122
Lubricant Sales (KL),Aug'26,Ajmer,Target Aug'26,51.7
Lubricant Sales (KL),Aug'26,Ajmer,LY Aug'25,47
Lubricant Sales (KL),Aug'26,Ajmer,Achievement Aug'26,53.9
Lubricant Sales (KL),Aug'26,Ajmer,% Achv over Base (Month),14.7
Lubricant Sales (KL),Aug'26,Ajmer,Cum. 25-26 (Apr-Aug),175
Lubricant Sales (KL),Aug'26,Ajmer,Cum. 26-27 (Apr-Aug),219.5
Lubricant Sales (KL),Aug'26,Ajmer,% Cum. Achv over Base,25.4
Lubricant Sales (KL),Aug'26,Jaipur,Target Aug'26,88
Lubricant Sales (KL),Aug'26,Jaipur,LY Aug'25,80
Lubricant Sales (KL),Aug'26,Jaipur,Achievement Aug'26,88.5
Lubricant Sales (KL),Aug'26,Jaipur,% Achv over Base (Month),10.6
Lubricant Sales (KL),Aug'26,Jaipur,Cum. 25-26 (Apr-Aug),222
Lubricant Sales (KL),Aug'26,Jaipur,Cum. 26-27 (Apr-Aug),258.7
Lubricant Sales (KL),Aug'26,Jaipur,% Cum. Achv over Base,16.5
Lubricant Sales (KL),Aug'26,Jodhpur,Target Aug'26,77
Lubricant Sales (KL),Aug'26,Jodhpur,LY Aug'25,70
Lubricant Sales (KL),Aug'26,Jodhpur,Achievement Aug'26,76.2
Lubricant Sales (KL),Aug'26,Jodhpur,% Achv over Base (Month),8.9
Lubricant Sales (KL),Aug'26,Jodhpur,Cum. 25-26 (Apr-Aug),206
Lubricant Sales (KL),Aug'26,Jodhpur,Cum. 26-27 (Apr-Aug),337.9
Lubricant Sales (KL),Aug'26,Jodhpur,% Cum. Achv over Base,64.0
Lubricant Sales (KL),Aug'26,Udaipur,Target Aug'26,58.3
Lubricant Sales (KL),Aug'26,Udaipur,LY Aug'25,53
Lubricant Sales (KL),Aug'26,Udaipur,Achievement Aug'26,64.2
Lubricant Sales (KL),Aug'26,Udaipur,% Achv over Base (Month),21.1
Lubricant Sales (KL),Aug'26,Udaipur,Cum. 25-26 (Apr-Aug),198
Lubricant Sales (KL),Aug'26,Udaipur,Cum. 26-27 (Apr-Aug),230.1
Lubricant Sales (KL),Aug'26,Udaipur,% Cum. Achv over Base,16.2
Lubricant Sales (KL),Aug'26,RSO,Target Aug'26,275
Lubricant Sales (KL),Aug'26,RSO,LY Aug'25,250
Lubricant Sales (KL),Aug'26,RSO,Achievement Aug'26,282.8
Lubricant Sales (KL),Aug'26,RSO,% Achv over Base (Month),13.1
Lubricant Sales (KL),Aug'26,RSO,Cum. 25-26 (Apr-Aug),801
Lubricant Sales (KL),Aug'26,RSO,Cum. 26-27 (Apr-Aug),1046.2
Lubricant Sales (KL),Aug'26,RSO,% Cum. Achv over Base,30.6
NIL Selling ROs — Action Taken,Apr-Aug'26,Ajmer,As on 01.04.26,3
NIL Selling ROs — Action Taken,Apr-Aug'26,Ajmer,Revived,3
NIL Selling ROs — Action Taken,Apr-Aug'26,Ajmer,Terminated,0
NIL Selling ROs — Action Taken,Apr-Aug'26,Ajmer,Balance,0
NIL Selling ROs — Action Taken,Apr-Aug'26,Ajmer,Added (Apr-Aug),5
NIL Selling ROs — Action Taken,Apr-Aug'26,Ajmer,Terminated (Apr-Aug),0
NIL Selling ROs — Action Taken,Apr-Aug'26,Ajmer,No Facility at Site (SRH Approval),0
NIL Selling ROs — Action Taken,Apr-Aug'26,Ajmer,NIL Selling as on 01.09.26,5
NIL Selling ROs — Action Taken,Apr-Aug'26,Jaipur,As on 01.04.26,23
NIL Selling ROs — Action Taken,Apr-Aug'26,Jaipur,Revived,8
NIL Selling ROs — Action Taken,Apr-Aug'26,Jaipur,Terminated,1
NIL Selling ROs — Action Taken,Apr-Aug'26,Jaipur,Balance,14
NIL Selling ROs — Action Taken,Apr-Aug'26,Jaipur,Added (Apr-Aug),12
NIL Selling ROs — Action Taken,Apr-Aug'26,Jaipur,Terminated (Apr-Aug),1
NIL Selling ROs — Action Taken,Apr-Aug'26,Jaipur,No Facility at Site (SRH Approval),2
NIL Selling ROs — Action Taken,Apr-Aug'26,Jaipur,NIL Selling as on 01.09.26,26
NIL Selling ROs — Action Taken,Apr-Aug'26,Jodhpur,As on 01.04.26,10
NIL Selling ROs — Action Taken,Apr-Aug'26,Jodhpur,Revived,10
NIL Selling ROs — Action Taken,Apr-Aug'26,Jodhpur,Terminated,0
NIL Selling ROs — Action Taken,Apr-Aug'26,Jodhpur,Balance,0
NIL Selling ROs — Action Taken,Apr-Aug'26,Jodhpur,Added (Apr-Aug),10
NIL Selling ROs — Action Taken,Apr-Aug'26,Jodhpur,Terminated (Apr-Aug),0
NIL Selling ROs — Action Taken,Apr-Aug'26,Jodhpur,No Facility at Site (SRH Approval),0
NIL Selling ROs — Action Taken,Apr-Aug'26,Jodhpur,NIL Selling as on 01.09.26,10
NIL Selling ROs — Action Taken,Apr-Aug'26,Udaipur,As on 01.04.26,14
NIL Selling ROs — Action Taken,Apr-Aug'26,Udaipur,Revived,10
NIL Selling ROs — Action Taken,Apr-Aug'26,Udaipur,Terminated,0
NIL Selling ROs — Action Taken,Apr-Aug'26,Udaipur,Balance,4
NIL Selling ROs — Action Taken,Apr-Aug'26,Udaipur,Added (Apr-Aug),13
NIL Selling ROs — Action Taken,Apr-Aug'26,Udaipur,Terminated (Apr-Aug),0
NIL Selling ROs — Action Taken,Apr-Aug'26,Udaipur,No Facility at Site (SRH Approval),0
NIL Selling ROs — Action Taken,Apr-Aug'26,Udaipur,NIL Selling as on 01.09.26,17
NIL Selling ROs — Action Taken,Apr-Aug'26,RSO,As on 01.04.26,50
NIL Selling ROs — Action Taken,Apr-Aug'26,RSO,Revived,31
NIL Selling ROs — Action Taken,Apr-Aug'26,RSO,Terminated,1
NIL Selling ROs — Action Taken,Apr-Aug'26,RSO,Balance,18
NIL Selling ROs — Action Taken,Apr-Aug'26,RSO,Added (Apr-Aug),40
NIL Selling ROs — Action Taken,Apr-Aug'26,RSO,Terminated (Apr-Aug),1
NIL Selling ROs — Action Taken,Apr-Aug'26,RSO,No Facility at Site (SRH Approval),0
NIL Selling ROs — Action Taken,Apr-Aug'26,RSO,NIL Selling as on 01.09.26,58
NIL Selling ROs — Ageing,,Ajmer,<6 Months,1
NIL Selling ROs — Ageing,,Ajmer,6M-1Y,2
NIL Selling ROs — Ageing,,Ajmer,1-5 Years,2
NIL Selling ROs — Ageing,,Ajmer,>5 Years,0
NIL Selling ROs — Ageing,,Ajmer,Grand Total,5
NIL Selling ROs — Ageing,,Jaipur,<6 Months,4
NIL Selling ROs — Ageing,,Jaipur,6M-1Y,3
NIL Selling ROs — Ageing,,Jaipur,1-5 Years,10
NIL Selling ROs — Ageing,,Jaipur,>5 Years,9
NIL Selling ROs — Ageing,,Jaipur,Grand Total,26
NIL Selling ROs — Ageing,,Jodhpur,<6 Months,0
NIL Selling ROs — Ageing,,Jodhpur,6M-1Y,3
NIL Selling ROs — Ageing,,Jodhpur,1-5 Years,7
NIL Selling ROs — Ageing,,Jodhpur,>5 Years,0
NIL Selling ROs — Ageing,,Jodhpur,Grand Total,10
NIL Selling ROs — Ageing,,Udaipur,<6 Months,3
NIL Selling ROs — Ageing,,Udaipur,6M-1Y,6
NIL Selling ROs — Ageing,,Udaipur,1-5 Years,7
NIL Selling ROs — Ageing,,Udaipur,>5 Years,1
NIL Selling ROs — Ageing,,Udaipur,Grand Total,17
NIL Selling ROs — Ageing,,RSO,<6 Months,8
NIL Selling ROs — Ageing,,RSO,6M-1Y,14
NIL Selling ROs — Ageing,,RSO,1-5 Years,26
NIL Selling ROs — Ageing,,RSO,>5 Years,10
NIL Selling ROs — Ageing,,RSO,Grand Total,58
NIL Selling ROs — Resolution Status,,Ajmer,Revival,4
NIL Selling ROs — Resolution Status,,Ajmer,Sub-judice,1
NIL Selling ROs — Resolution Status,,Ajmer,Termination,0
NIL Selling ROs — Resolution Status,,Ajmer,Grand Total,5
NIL Selling ROs — Resolution Status,,Jaipur,Revival,11
NIL Selling ROs — Resolution Status,,Jaipur,Sub-judice,2
NIL Selling ROs — Resolution Status,,Jaipur,Termination,13
NIL Selling ROs — Resolution Status,,Jaipur,Grand Total,26
NIL Selling ROs — Resolution Status,,Jodhpur,Revival,4
NIL Selling ROs — Resolution Status,,Jodhpur,Sub-judice,2
NIL Selling ROs — Resolution Status,,Jodhpur,Termination,4
NIL Selling ROs — Resolution Status,,Jodhpur,Grand Total,10
NIL Selling ROs — Resolution Status,,Udaipur,Revival,13
NIL Selling ROs — Resolution Status,,Udaipur,Sub-judice,0
NIL Selling ROs — Resolution Status,,Udaipur,Termination,4
NIL Selling ROs — Resolution Status,,Udaipur,Grand Total,17
NIL Selling ROs — Resolution Status,,RSO,Revival,32
NIL Selling ROs — Resolution Status,,RSO,Sub-judice,5
NIL Selling ROs — Resolution Status,,RSO,Termination,21
NIL Selling ROs — Resolution Status,,RSO,Grand Total,58
Oil Co Market Share,,IOC,RO Count,2931
Oil Co Market Share,,IOC,Physical Participation,38.9
Oil Co Market Share,,IOC,MKT Share HSD(R),40.4
Oil Co Market Share,,IOC,MKT Share Total,39.6
Oil Co Market Share,,IOC,NW Effec,101.7
Oil Co Market Share,,IOC,MS Sales TKL,417
Oil Co Market Share,,IOC,MS PPT,36
Oil Co Market Share,,IOC,HSD Sales TKL,1026
Oil Co Market Share,,IOC,HSD PPT,87
Oil Co Market Share,,IOC,MS+HSD Sales TKL,1443
Oil Co Market Share,,IOC,MS+HSD PPT,123
Oil Co Market Share,,BPC,RO Count,1571
Oil Co Market Share,,BPC,Physical Participation,20.9
Oil Co Market Share,,BPC,MKT Share HSD(R),23.2
Oil Co Market Share,,BPC,MKT Share Total,23.9
Oil Co Market Share,,BPC,NW Effec,114.4
Oil Co Market Share,,BPC,MS Sales TKL,285
Oil Co Market Share,,BPC,MS PPT,45
Oil Co Market Share,,BPC,HSD Sales TKL,589
Oil Co Market Share,,BPC,HSD PPT,94
Oil Co Market Share,,BPC,MS+HSD Sales TKL,874
Oil Co Market Share,,BPC,MS+HSD PPT,139
Oil Co Market Share,,HPC,RO Count,1920
Oil Co Market Share,,HPC,Physical Participation,25.5
Oil Co Market Share,,HPC,MKT Share HSD(R),27.9
Oil Co Market Share,,HPC,MKT Share Total,27.8
Oil Co Market Share,,HPC,NW Effec,109.0
Oil Co Market Share,,HPC,MS Sales TKL,305
Oil Co Market Share,,HPC,MS PPT,40
Oil Co Market Share,,HPC,HSD Sales TKL,709
Oil Co Market Share,,HPC,HSD PPT,92
Oil Co Market Share,,HPC,MS+HSD Sales TKL,1015
Oil Co Market Share,,HPC,MS+HSD PPT,132
Oil Co Market Share,,PSU Total,RO Count,6422
Oil Co Market Share,,PSU Total,Physical Participation,85.3
Oil Co Market Share,,PSU Total,MKT Share HSD(R),91.5
Oil Co Market Share,,PSU Total,MKT Share Total,91.3
Oil Co Market Share,,PSU Total,NW Effec,107.0
Oil Co Market Share,,PSU Total,MS Sales TKL,1008
Oil Co Market Share,,PSU Total,MS PPT,39
Oil Co Market Share,,PSU Total,HSD Sales TKL,2324
Oil Co Market Share,,PSU Total,HSD PPT,90
Oil Co Market Share,,PSU Total,MS+HSD Sales TKL,3331
Oil Co Market Share,,PSU Total,MS+HSD PPT,130
Oil Co Market Share,,RIL,RO Count,135
Oil Co Market Share,,RIL,Physical Participation,1.8
Oil Co Market Share,,RIL,MKT Share HSD(R),2.8
Oil Co Market Share,,RIL,MKT Share Total,2.7
Oil Co Market Share,,RIL,NW Effec,150.5
Oil Co Market Share,,RIL,MS Sales TKL,28
Oil Co Market Share,,RIL,MS PPT,52
Oil Co Market Share,,RIL,HSD Sales TKL,70
Oil Co Market Share,,RIL,HSD PPT,130
Oil Co Market Share,,RIL,MS+HSD Sales TKL,98
Oil Co Market Share,,RIL,MS+HSD PPT,182
Oil Co Market Share,,NEL,RO Count,970
Oil Co Market Share,,NEL,Physical Participation,12.9
Oil Co Market Share,,NEL,MKT Share HSD(R),5.8
Oil Co Market Share,,NEL,MKT Share Total,6.0
Oil Co Market Share,,NEL,NW Effec,46.6
Oil Co Market Share,,NEL,MS Sales TKL,75
Oil Co Market Share,,NEL,MS PPT,19
Oil Co Market Share,,NEL,HSD Sales TKL,146
Oil Co Market Share,,NEL,HSD PPT,38
Oil Co Market Share,,NEL,MS+HSD Sales TKL,221
Oil Co Market Share,,NEL,MS+HSD PPT,57
Oil Co Market Share,,PVT Total,RO Count,1105
Oil Co Market Share,,PVT Total,Physical Participation,14.7
Oil Co Market Share,,PVT Total,MKT Share HSD(R),8.5
Oil Co Market Share,,PVT Total,MKT Share Total,8.7
Oil Co Market Share,,PVT Total,NW Effec,59.3
Oil Co Market Share,,PVT Total,MS Sales TKL,103
Oil Co Market Share,,PVT Total,MS PPT,23
Oil Co Market Share,,PVT Total,HSD Sales TKL,216
Oil Co Market Share,,PVT Total,HSD PPT,49
Oil Co Market Share,,PVT Total,MS+HSD Sales TKL,319
Oil Co Market Share,,PVT Total,MS+HSD PPT,72
Oil Co Market Share,,Industry Total,RO Count,7527
Oil Co Market Share,,Industry Total,Physical Participation,100.0
Oil Co Market Share,,Industry Total,MKT Share HSD(R),100
Oil Co Market Share,,Industry Total,MKT Share Total,100
Oil Co Market Share,,Industry Total,NW Effec,100.0
Oil Co Market Share,,Industry Total,MS Sales TKL,1111
Oil Co Market Share,,Industry Total,MS PPT,37
Oil Co Market Share,,Industry Total,HSD Sales TKL,2540
Oil Co Market Share,,Industry Total,HSD PPT,84
Oil Co Market Share,,Industry Total,MS+HSD Sales TKL,3650
Oil Co Market Share,,Industry Total,MS+HSD PPT,121
META,,,OilCoAsOfDate,01-Aug-2026
RO-KSK Site Class Breakup,,Ajmer,RO - A Site,215
RO-KSK Site Class Breakup,,Ajmer,RO - B Site,259
RO-KSK Site Class Breakup,,Ajmer,RO - Total,474
RO-KSK Site Class Breakup,,Ajmer,KSK - A Site,49
RO-KSK Site Class Breakup,,Ajmer,KSK - B Site,160
RO-KSK Site Class Breakup,,Ajmer,KSK - Total,209
RO-KSK Site Class Breakup,,Ajmer,RO+KSK - A Site,264
RO-KSK Site Class Breakup,,Ajmer,RO+KSK - B Site,419
RO-KSK Site Class Breakup,,Ajmer,RO+KSK - Grand Total,683
RO-KSK Site Class Breakup,,Jaipur,RO - A Site,247
RO-KSK Site Class Breakup,,Jaipur,RO - B Site,347
RO-KSK Site Class Breakup,,Jaipur,RO - Total,594
RO-KSK Site Class Breakup,,Jaipur,KSK - A Site,49
RO-KSK Site Class Breakup,,Jaipur,KSK - B Site,202
RO-KSK Site Class Breakup,,Jaipur,KSK - Total,251
RO-KSK Site Class Breakup,,Jaipur,RO+KSK - A Site,296
RO-KSK Site Class Breakup,,Jaipur,RO+KSK - B Site,549
RO-KSK Site Class Breakup,,Jaipur,RO+KSK - Grand Total,845
RO-KSK Site Class Breakup,,Jodhpur,RO - A Site,198
RO-KSK Site Class Breakup,,Jodhpur,RO - B Site,294
RO-KSK Site Class Breakup,,Jodhpur,RO - Total,492
RO-KSK Site Class Breakup,,Jodhpur,KSK - A Site,46
RO-KSK Site Class Breakup,,Jodhpur,KSK - B Site,212
RO-KSK Site Class Breakup,,Jodhpur,KSK - Total,258
RO-KSK Site Class Breakup,,Jodhpur,RO+KSK - A Site,244
RO-KSK Site Class Breakup,,Jodhpur,RO+KSK - B Site,506
RO-KSK Site Class Breakup,,Jodhpur,RO+KSK - Grand Total,750
RO-KSK Site Class Breakup,,Udaipur,RO - A Site,207
RO-KSK Site Class Breakup,,Udaipur,RO - B Site,229
