RSO Indent Report ,,,,,,,,,,,,,,,,25.09.2026,,16730,,50700,,Completed ,,,,,,,,Branded Fuel Indent,,,,
25-09-2026 11:33,,,,,,,,,,,,,,,,,,16741,,50750,,,,,,,,,,25-09-2026,,,,
Jodhpur DO,425,495,,,0,,#REF!,0,118,,,0,,,,Chittorgarh Terminal,,970,771,,0,,#REF!,#REF!,1939,1602,,0,,,,,,
,0,0,,,9,,#REF!,1548,1728,,,0,,,,,,0,0,,0,,#REF!,#REF!,0,0,,0,,,,,,
,0,0,,,210,,#REF!,12,12,,,898,,,,,,0,0,,0,,#REF!,#REF!,0,0,,0,,,,,,
,0,0,,,0,,0,0,0,,,0,,,,,,0,0,,0,,0,0,0,0,,0,,,,,,
,0,0,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,,0,,,,,,
,23,23,,,,,,0,0,,,,,,,,,14,9,,,,,,0,0,,0,,,,,,
,0,0,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,,,,,,,,
,0,0,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,
Total ,448,518,229,,219,,#REF!,1560,1858,662,,898,,,,Total ,0,984,780,780,0,,#REF!,#REF!,1939,1602,1602,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSO Indent Report Udaipur DO,,,,,,,,,,,,,,,,RSO Indent Report Jaipur,,,,,,,,,,,,,,,,,,
25-09-2026 11:33,,,,,,,,,,,,,,,,25-09-2026 11:33,,,,,,,,,,,,,,,,,,
SO/DO,MS,,,,,,,HSD,,,,,,,,SO/DO,MS,,,,,,,HSD,,,,,,,,,,
,MS Target,MS Indent,Under Loading,,Billed ,Gap ,MS-Daily Yesterday Sales (in KL),Completed ,HSD Indent ,Under Loading,,Billed ,Gap ,,,,MS Target,MS Indent,Completed ,Under Loading,Billed ,Gap ,MS-Daily Yesterday Sales (in KL),HSD Target,HSD Indent ,Completed ,Under Loading,Billed ,Gap ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Udaipur DO,625,771,,,0,,#REF!,1211,1461,,,63,,,,Jaipur Terminal,,1258,848,,0,,#REF!,#REF!,739,0,,0,,,,,,
,0,0,,,0,,#REF!,104,140,,,0,,,,,,0,0,,0,,#REF!,#REF!,0,0,,0,,,,,,
,0,0,,,135,,#REF!,0,0,,,454,,,,,,0,0,,0,,#REF!,#REF!,1716,1716,,0,,,,,,
,0,0,,,0,,0,0,0,,,0,,,,,,0,0,,0,,0,0,0,0,,0,,,,,,
,0,0,,,,,,0,0,,,0,,,,,,0,0,,,,,,0,0,,,,,,,,
,0,0,,,,,,0,0,,,0,,,,,,65,42,,,,,,0,0,,,,,,,,
,0,0,,,,,,0,0,,,,,,,,,0,0,,,,,,5,5,,,,,,,,
,0,0,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,
Total ,625,771,490,,135,,#REF!,1315,1601,798,,517,,,,Total ,0,1323,890,890,0,,#REF!,#REF!,2460,1721,1721,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSO Indent Report Ajmer DO,,,,,,,,,,,,,,,,RSO Indent Report Bharatpur,,,,,,,,,,,,,,,,,,
25-09-2026 11:33,,,,,,,,,,,,,,,,25-09-2026 11:33,,,,,,,,,,,,,,,,,,
SO/DO,MS,,,,,,,HSD,,,,,,,,SO/DO,MS,,,,,,,HSD,,,,,,,,,,
,MS Target,MS Indent,Under Loading,,Billed ,Gap ,MS-Daily Yesterday Sales (in KL),Completed ,HSD Indent ,Under Loading,,Billed ,Gap ,,,,MS Target,MS Indent,Completed ,Under Loading,Billed ,Gap ,MS-Daily Yesterday Sales (in KL),HSD Target,HSD Indent ,Completed ,,Billed ,Gap ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajmer DO,534,684,,,0,,#REF!,405,763,,,153,,,,Bharatpur Terminal,,306,263,,0,,#REF!,#REF!,47,0,,0,,,,,,
,0,0,,,19,,#REF!,247,266,,,0,,,,,,0,0,,0,,#REF!,#REF!,734,613,,0,,,,,,
,0,0,,,241,,#REF!,701,701,,,129,,,,,,0,0,,0,,#REF!,#REF!,0,0,,,,,,,,
,0,0,,,0,,#REF!,0,0,,,0,,,,,,0,0,,,,0,0,0,0,,,,,,,,
,0,0,,,,,,0,0,,,516,,,,,,0,0,,,,,,0,0,,,,,,,,
,33,47,,,,,,0,0,,,0,,,,,,10,5,,,,,,0,0,,,,,,,,
,0,0,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,,,,,,,,
